Pond,Date,Week,Block,Rep,Dreisse,Macrophytes,Nutrients,TreatNR,Treatment,pH,TN,orthoP,TP,Nitrate,Temperature,O2,Turbidity,CHL,TED,CtoN,CtoP,c_Cyanobacteria,c_Golden_algae,c_Diatoms,c_Dinoflagellates,c_Cryptophytes,c_Green_algae,c_Achnthaceae,c_Aphanocapsa,c_Asterionella,c_Bicosoeca,c_Carteria,c_Chlamydomos,c_Chroococus,c_Coelastrum_1,c_Coelastrum_2,c_Coelastrum_3,c_Cosmarium_1,c_Cosmarium_2,c_Cryptomos,c_Cyclotella_1,c_Cyclotella_2,c_Diatoma,c_Elakatothrix,c_Erkenia,c_Gomphosphaeria,c_Gymnodinium,c_Haematococcaceae,c_Katablepharis,c_Kirchneriella,c_Lagerheimia_1,c_Lagerheimia_2,c_Leptothrix,c_Mallomos,c_Monoraphidium,c_Nephrocitium,c_Nitzschia,c_Oocystis_1,c_Oocystis_2,c_Pediastrum,c_Peridinium,c_Phacotus,c_Phormidium,c_Pseudoabae,c_Rayssiella,c_Rhodomos,c_Scenedesmus_1,c_Scenedesmus_2,c_Scenedesmus_3,c_Scenedesmus_4,c_Spiruli,c_Stephanodiscus_1,c_Stephanodiscus_2,c_Stephanodiscus_3,c_Synechococcales,c_Synedra_1,c_Synedra_2,c_Synedra_3,c_Tetraedron,c_Willea,c_Unknown_1,c_Unknown_2,c_Unknown_3,c_Unknown_4,c_Unknown_5,c_Unknown_6,c_Unknown_7,c_Unknown_8,c_Unknown_9,c_Unknown_10,c_Unkonwn_11,c_Unknown_12,c_Unknown_13,c_Keratella,c_Others,v_Cyanobacteria,v_Golden_algae,v_Diatoms,v_Dinoflagellates,v_Cryptophytes,v_Green_algae,v_Achnthaceae,v_Aphanocapsa,v_Asterionella,v_Bicosoeca,v_Carteria,v_Chlamydomos,v_Chroococus,v_Coelastrum_1,v_Coelastrum_2,v_Coelastrum_3,v_Cosmarium_1,v_Cosmarium_2,v_Cryptomos,v_Cyclotella_1,v_Cyclotella_2,v_Diatoma,v_Elakatothrix,v_Erkenia,v_Gomphosphaeria,v_Gymnodinium,v_Haematococcaceae,v_Katablepharis,v_Kirchneriella,v_Lagerheimia_1,v_Lagerheimia_2,v_Leptothrix,v_Mallomos,v_Monoraphidium,v_Nephrocitium,v_Nitzschia,v_Oocystis_1,v_Oocystis_2,v_Pediastrum,v_Peridinium,v_Phacotus,v_Phormidium,v_Pseudoabae,v_Rayssiella,v_Rhodomos,v_Scenedesmus_1,v_Scenedesmus_2,v_Scenedesmus_3,v_Scenedesmus_4,v_Spiruli,v_Stephanodiscus_1,v_Stephanodiscus_2,v_Stephanodiscus_3,v_Synechococcales,v_Synedra_1,v_Synedra_2,v_Synedra_3,v_Tetraedron,v_Willea,v_Unknown_1,v_Unknown_2,v_Unknown_3,v_Unknown_4,v_Unknown_5,v_Unknown_6,v_Unknown_7,v_Unknown_8,v_Unknown_9,v_Unknown_10,v_Unkonwn_11,v_Unknown_12,v_Unknown_13,Daphnia_adult,Copepod_adult
3C,7/4/2016,0,3,3,0,0,0,5,O,8.88,3.124,2.4,19,0.71,,,,18.62764228,0.09889907,11.47166235,557.1685383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,7/4/2016,0,3,2,0,1,1,1,M,8.6,2.825,4.4,16.8,0.844,,,,13.19674797,0.167454097,12.24156869,513.3021816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A,7/4/2016,0,4,2,1,0,1,2,D,8.56,3.205,1.6,11.6,1.346,,,,9.782113821,0.05229069,22.88643093,789.3381736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B,7/4/2016,0,4,3,1,1,1,3,MD,8.55,3.128,1.4,10.1,1.483,,,,5.313821138,0.283101541,7.488285345,273.3540263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C,7/4/2016,0,4,3,1,0,1,2,D,8.75,3.195,3.5,14.7,0.835,,,,15.46666667,0.41541638,12.64020506,456.4607632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,7/4/2016,0,4,4,1,1,1,3,MD,8.44,2.384,1.3,9.1,1.215,,,,4.707317073,0.17476842,17.28735955,545.8668368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A,7/4/2016,0,5,3,0,1,1,1,M,9.15,4.446,6.7,25.2,0.277,,,,23.22601626,0.543634855,16.2478725,452.1374139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B,7/4/2016,0,5,4,0,1,1,1,M,8.68,3.705,1.9,29,0.289,,,,13.6,0.286387681,18.55062752,483.387789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C,7/4/2016,0,5,4,1,0,1,2,D,8.39,3.835,4.4,12.8,0.868,,,,6.112195122,0.168837905,8.264019223,276.1572862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5D,7/4/2016,0,5,4,0,0,0,5,O,9.51,2.472,3,34.4,0.125,,,,56.30569106,0.242311331,12.6707855,380.5966805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A,7/11/2016,1,1,1,1,0,1,2,D,8.66,0.8719,0.5,12.5,0.698,,,,7.460162602,0.074355624,13.67763864,734.5356393,38755,287.5,0,517.5,0,115,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.5,0,0,0,0,0,0,0,0,0,0,0,0,0,38755,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,623372.4075,18883.06625,0,2698074.164,0,18726.0285,0,0,0,0,0,12825.0703,0,0,0,0,0,0,0,0,0,0,0,18883.06625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698074.164,0,0,0,0,0,0,0,0,0,0,0,0,0,623372.4075,0,0,0,0,0,0,0,0,0,0,0,0,0,5900.9582,0,0,0,0,1,0
1B,7/11/2016,1,1,1,0,0,1,4,C,8.78,1.032,0.5,14.5,0.894,,,,11.88292683,0.166678492,15.32521666,623.9909864,8165,0,0,632.5,345,115,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8165,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,131333.6526,0,0,1706104.303,70337.49491,25650.14059,0,0,0,0,0,25650.14059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70337.49491,0,0,0,0,0,0,0,0,0,0,0,1498930.091,0,0,0,0,0,0,0,0,0,0,0,0,0,131333.6526,0,0,0,0,0,0,0,0,0,0,207174.2125,0,0,0,0,0,0,0,0,0
1C,7/11/2016,1,1,2,0,0,1,4,C,8.27,1.165,0.5,9.8,1.017,,,,2.123577236,0.179387487,12.61181286,734.0393996,38237.5,1552.5,230,0,345,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,1552.5,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,38007.5,0,0,115,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,666670.387,101968.5577,145302.1053,0,70337.49491,20517.02953,0,0,0,0,0,0,0,0,0,0,0,0,0,93552.10532,0,0,0,101968.5577,0,0,0,70337.49491,0,0,0,0,0,0,0,0,0,0,0,0,20517.02953,0,0,0,0,0,0,0,0,0,0,0,0,611348.9039,0,0,51750,0,0,0,0,55321.48314,0,0,0,0,0,0,0,0,0,0,0,0
1D,7/11/2016,1,1,1,0,0,0,5,O,9.37,0.5119,0.5,22,0.29,,,,31.77235772,0.170805995,11.9562484,424.6349903,12247.5,0,57.5,1610,0,6152.5,0,0,0,0,0,6152.5,0,0,0,0,0,0,0,57.5,0,0,0,0,0,517.5,0,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,12247.5,0,0,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,197000.4788,0,46776.05267,5008929.859,0,1372282.522,0,0,0,0,0,1372282.522,0,0,0,0,0,0,0,46776.05267,0,0,0,0,0,639280.427,0,0,0,0,0,0,0,0,0,0,0,0,0,4197004.255,0,0,0,0,0,0,0,0,0,0,0,0,0,197000.4788,0,0,0,0,0,0,0,0,0,0,172645.1771,0,0,0,0,0,0,0,6,0
2A,7/11/2016,1,2,1,1,1,1,3,MD,8.46,0.9573,0.5,11.5,0.854,,,,3.39902439,0.186756889,10.62886706,271.4916885,54682.5,0,1725,0,0,4312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,0,0,0,0,3507.5,575,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54682.5,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,879565.5182,0,1403281.58,0,0,519995.3269,0,0,0,0,0,0,0,0,0,0,0,0,0,1403281.58,0,0,0,0,0,0,0,0,127880.749,207174.2125,173138.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879565.5182,0,0,0,0,0,0,0,0,0,0,0,0,0,11801.9164,0,0,0,0,0,0
2B,7/11/2016,1,2,3,0,0,1,4,C,8.56,0.9127,0.5,14.1,0.77,,,,8.045528455,0.237072069,2.614903664,80.20193104,39272.5,0,172.5,172.5,0,6440,0,0,0,0,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,402.5,5117.5,402.5,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,39272.5,0,0,0,0,0,0,0,0,0,0,0,0,0,115,402.5,0,0,0,0,0,631696.3714,0,140328.158,899358.0549,0,2503287.628,0,0,0,0,0,0,0,0,0,0,0,0,0,140328.158,0,0,0,0,0,0,0,0,14674.84005,1843850.491,605984.5713,0,0,0,0,0,0,0,0,899358.0549,0,0,0,0,0,0,0,0,0,0,0,0,0,631696.3714,0,0,0,0,0,0,0,0,0,0,0,0,0,11801.9164,26975.80892,0,0,0,0,0
2C,7/11/2016,1,2,2,1,1,1,3,MD,8.23,0.8772,0.5,12.2,0.731,,,,3.609756098,0.081562413,13.19837398,402.7148782,24725,0,517.5,0,57.5,230,0,0,0,0,0,230,0,0,0,0,0,0,57.5,517.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397700.4972,0,420984.474,0,55493.09263,51300.28119,0,0,0,0,0,51300.28119,0,0,0,0,0,0,55493.09263,420984.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397700.4972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2D,7/11/2016,1,2,1,0,1,1,1,M,8.36,0.8151,0.5,11,0.688,,,,4.070243902,0.305869846,11.70774813,387.6496797,4600,57.5,1207.5,115,115,4427.5,402.5,0,0,0,0,0,0,0,0,0,0,0,115,805,0,0,0,57.5,0,0,0,0,57.5,3047.5,172.5,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,0,0,0,0,73990.79018,3776.613249,1211280.737,599572.0362,110986.1852,1477846.57,556416,0,0,0,0,0,0,0,0,0,0,0,110986.1852,654864.7371,0,0,0,3776.613249,0,0,0,0,2096.405722,1098023.326,259707.6735,0,0,0,0,0,0,0,0,599572.0362,0,0,0,0,0,0,0,0,0,0,0,0,0,73990.79018,0,0,0,0,0,0,0,0,0,0,0,0,0,118019.164,0,0,0,0,0,0
3A,7/11/2016,1,3,4,0,0,1,4,C,8.57,1.351,0.5,11.5,1.211,,,,6.87804878,0.154067854,12.46660568,448.019329,41285,0,345,0,0,690,0,0,0,0,0,115,0,0,0,0,0,0,0,115,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41285,0,0,0,0,0,0,0,0,0,230,0,0,0,115,0,0,0,0,0,0,664067.3419,0,390307.3053,0,0,1350541.947,0,0,0,0,0,25650.14059,0,0,0,0,0,0,0,93552.10532,0,0,0,0,0,0,1313089.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664067.3419,0,0,0,0,0,0,0,0,0,296755.2,0,0,0,11801.9164,0,0,0,0,0,1
3B,7/11/2016,1,3,2,0,0,0,5,O,8.87,0.9805,0.5,13.7,0.802,,,,17.38536585,0.251571391,15.88213953,633.2788076,5922.5,0,0,57.5,0,6440,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,1782.5,0,0,3680,402.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5922.5,0,0,0,0,0,0,0,0,0,0,0,0,0,402.5,0,0,0,0,0,0,95263.14237,0,0,71031.15858,0,7099904.77,0,0,0,0,0,38475.21089,0,0,0,0,0,0,0,0,0,0,0,0,0,71031.15858,5088223.322,0,0,1325914.96,605984.5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95263.14237,0,0,0,0,0,0,0,0,0,0,0,0,0,41306.70741,0,0,0,0,6,0
3C,7/11/2016,1,3,3,0,0,0,5,O,8.67,0.7055,0.5,17.8,0.465,,,,3.707317073,0.04794732,11.34528177,385.543615,201250,0,402.5,57.5,0,575,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,201250,0,0,0,0,0,0,0,0,0,115,0,0,0,287.5,0,0,0,0,0,0,3237097.07,0,171037.2795,299786.0182,0,93630.14248,0,0,0,0,0,64125.35148,0,0,0,0,0,0,0,0,22659.67949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299786.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,3237097.07,0,0,0,0,0,0,0,0,0,148377.6,0,0,0,29504.79101,0,0,0,0,6,1
3D,7/11/2016,1,3,2,0,1,1,1,M,8.43,0.9525,0.5,14.4,0.73,,,,2.766829268,0.268886053,10.14110991,245.9138903,4025,0,172.5,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,517.5,115,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4025,0,0,0,0,0,0,0,0,0,57.5,0,0,0,172.5,0,0,0,0,0,0,64741.9414,0,173721.3327,0,0,377298.1148,0,0,0,0,0,0,0,0,0,0,0,0,0,46776.05267,0,0,0,0,0,0,0,0,0,186456.7912,173138.449,0,0,0,0,52756.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64741.9414,0,0,0,0,0,0,0,0,0,74188.8,0,0,0,17702.87461,0,0,0,0,3,0
4A,7/11/2016,1,4,2,1,0,1,2,D,8.87,1.16,0.5,11.8,1.055,,,,10.50146341,0.107981523,12.56624071,392.1208214,18112.5,0,517.5,115,115,1782.5,0,0,0,0,0,805,0,0,0,0,0,0,115,0,172.5,0,0,0,0,115,230,0,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,18112.5,0,0,0,0,0,0,0,0,0,345,0,0,172.5,57.5,0,0,0,0,0,0,291338.7363,0,458728.6077,142062.3172,110986.1852,978655.3717,0,0,0,0,0,179550.9842,0,0,0,0,0,0,110986.1852,0,13595.8077,0,0,0,0,142062.3172,656544.9446,0,2096.405722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53273.36893,0,0,0,0,0,291338.7363,0,0,0,0,0,0,0,0,0,445132.8,0,0,81288.70991,5900.9582,0,0,0,0,0,0
4B,7/11/2016,1,4,3,1,1,1,3,MD,8.75,1.269,0.5,9.1,1.142,,,,8.277073171,0.441550198,9.18885751,265.3020301,862.5,0,690,230,0,1725,0,0,0,0,0,115,0,0,0,0,0,0,0,172.5,517.5,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,230,0,0,0,0,0,862.5,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,13873.27316,0,181115.5811,1199144.073,0,3042144.826,0,0,0,0,0,25650.14059,0,0,0,0,0,0,0,140328.158,40787.42308,0,0,0,0,0,2954452.252,0,0,0,0,0,0,0,0,0,0,0,0,1199144.073,0,0,0,0,0,0,0,26636.68446,0,0,0,0,0,13873.27316,0,0,0,0,0,0,0,0,0,0,0,0,0,35405.74921,0,0,0,0,0,0
4C,7/11/2016,1,4,3,1,0,1,2,D,8.78,0.6843,0.5,12,0.515,,,,8.995121951,0.113182714,12.02242766,333.2540041,17192.5,172.5,977.5,0,0,3105,0,0,0,0,0,172.5,0,0,0,0,0,0,0,402.5,517.5,0,0,172.5,0,0,1092.5,0,0,0,0,0,0,0,0,57.5,0,0,0,0,0,0,0,0,0,0,0,1840,0,0,0,0,0,17192.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276540.5783,11329.83974,420976.2717,0,0,3370157.174,0,0,0,0,0,38475.21089,0,0,0,0,0,0,0,327432.3687,40787.42308,0,0,11329.83974,0,0,3118588.488,0,0,0,0,0,0,0,0,52756.48,0,0,0,0,0,0,0,0,0,0,0,213093.4757,0,0,0,0,0,276540.5783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
